protein_id	organism_name	kingdom	protein_length	TM_helix_presence	class	cv_subset
P0DH90	Arabidopsis thaliana	Viridiplantae	609	False	Training	1
P97813	Mus musculus	Metazoa	933	False	Training	1
Q9P7H8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1679	False	Training	1
Q01831	Homo sapiens	Metazoa	940	False	Training	1
E9AGH7	Leishmania infantum	Discoba	365	False	Training	1
P32807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	602	False	Training	1
Q02959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	697	False	Training	1
Q8BK30	Mus musculus	Metazoa	104	False	Training	1
Q9H211	Homo sapiens	Metazoa	546	False	Training	1
Q13950	Homo sapiens	Metazoa	521	False	Training	1
Q8NBF2	Homo sapiens	Metazoa	726	False	Training	1
Q9UDR5	Homo sapiens	Metazoa	926	False	Training	1
Q7S5N0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	364	False	Training	1
Q84JU6	Arabidopsis thaliana	Viridiplantae	927	False	Training	1
Q9FGQ9	Arabidopsis thaliana	Viridiplantae	177	False	Training	1
O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845	False	Training	1
Q3E7A4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	109	False	Training	1
Q9D011	Mus musculus	Metazoa	178	False	Training	1
Q6L8Q7	Homo sapiens	Metazoa	609	False	Training	1
Q9LU05	Arabidopsis thaliana	Viridiplantae	168	False	Training	1
P20084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	86	False	Training	1
Q9UT31	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241	False	Training	1
Q9USX4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	108	False	Training	1
O75943	Homo sapiens	Metazoa	681	False	Training	1
Q8NI27	Homo sapiens	Metazoa	1593	False	Training	1
Q6NL34	Drosophila melanogaster	Metazoa	543	False	Training	1
P49773	Homo sapiens	Metazoa	126	False	Training	1
Q7FZF1	Arabidopsis thaliana	Viridiplantae	203	False	Training	1
P36543	Homo sapiens	Metazoa	226	False	Training	1
O08608	Mus musculus	Metazoa	189	False	Training	1
P25451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205	False	Training	1
Q54T86	Dictyostelium discoideum	Amoebozoa	568	False	Training	1
Q08B36	Xenopus laevis	Metazoa	374	False	Training	1
Q8CJ67	Mus musculus	Metazoa	570	False	Training	1
O13563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156	False	Training	1
P38989	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170	False	Training	1
A2AIV2	Mus musculus	Metazoa	1811	False	Training	1
Q8TDG4	Homo sapiens	Metazoa	1101	False	Training	1
Q8N684	Homo sapiens	Metazoa	471	False	Training	1
E9Q7G0	Mus musculus	Metazoa	2094	False	Training	1
Q9UTM0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	False	Training	1
Q6KCD5	Mus musculus	Metazoa	2798	False	Training	1
P53226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	547	True	Training	1
O13788	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527	False	Training	1
A2ARP9	Mus musculus	Metazoa	588	True	Training	1
Q12373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385	False	Training	1
Q91YT0	Mus musculus	Metazoa	464	False	Training	1
P32198	Rattus norvegicus	Metazoa	773	True	Training	1
P20436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False	Training	1
P53507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60	True	Training	1
P10664	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	False	Training	1
P82929	Bos taurus	Metazoa	218	False	Training	1
Q9UT23	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	834	False	Training	1
P40995	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872	False	Training	1
O45952	Caenorhabditis elegans	Metazoa	249	False	Training	1
Q8IW03	Homo sapiens	Metazoa	269	False	Training	1
Q5VWQ8	Homo sapiens	Metazoa	1189	False	Training	1
A0A509AER3	Plasmodium berghei (strain Anka)	Sar	247	False	Training	1
O23166	Arabidopsis thaliana	Viridiplantae	261	False	Training	1
Q53F19	Homo sapiens	Metazoa	620	False	Training	1
P40505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327	False	Training	1
P40344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310	False	Training	1
Q9JM80	Rattus norvegicus	Metazoa	424	True	Training	1
P52756	Homo sapiens	Metazoa	815	False	Training	1
Q15849	Homo sapiens	Metazoa	920	True	Training	1
Q6IN84	Homo sapiens	Metazoa	353	False	Training	1
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	82	False	Training	1
P33447	Trypanosoma cruzi	Discoba	416	False	Training	1
O80386	Arabidopsis thaliana	Viridiplantae	1058	False	Training	1
O04209	Arabidopsis thaliana	Viridiplantae	258	False	Training	1
Q8BZ97	Mus musculus	Metazoa	688	False	Training	1
Q13495	Homo sapiens	Metazoa	774	False	Training	1
O74381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	467	False	Training	1
Q08357	Homo sapiens	Metazoa	652	True	Training	1
Q9NR83	Homo sapiens	Metazoa	387	False	Training	1
A6NDU8	Homo sapiens	Metazoa	294	False	Training	1
O74433	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	67	True	Training	1
Q9UQ35	Homo sapiens	Metazoa	2752	False	Training	1
Q9VVA8	Drosophila melanogaster	Metazoa	78	True	Training	1
P41002	Homo sapiens	Metazoa	786	False	Training	1
Q9LN09	Arabidopsis thaliana	Viridiplantae	206	False	Training	1
P53004	Homo sapiens	Metazoa	296	False	Training	1
A0A076FFM5	Ocimum basilicum	Viridiplantae	523	True	Training	1
O75127	Homo sapiens	Metazoa	700	False	Training	1
P19973	Mus musculus	Metazoa	330	False	Training	1
Q8IYL3	Homo sapiens	Metazoa	243	False	Training	1
Q8N3Z6	Homo sapiens	Metazoa	543	False	Training	1
Q5VWP2	Homo sapiens	Metazoa	391	False	Training	1
Q99NF1	Mus musculus	Metazoa	532	False	Training	1
P19536	Mus musculus	Metazoa	128	False	Training	1
Q9DBU6	Mus musculus	Metazoa	334	False	Training	1
Q56A73	Homo sapiens	Metazoa	249	False	Training	1
Q15436	Homo sapiens	Metazoa	765	False	Training	1
O49929	Pisum sativum	Viridiplantae	213	True	Training	1
Q6UFS5	Danio rerio	Metazoa	563	False	Training	1
P59648	Mus musculus	Metazoa	80	True	Training	1
Q9VRP5	Drosophila melanogaster	Metazoa	1038	False	Training	1
Q9P212	Homo sapiens	Metazoa	2302	False	Training	1
Q6UXY1	Homo sapiens	Metazoa	529	False	Training	1
O88484	Rattus norvegicus	Metazoa	530	False	Training	1
Q9BRA0	Homo sapiens	Metazoa	125	False	Training	1
Q04705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352	True	Training	1
P53064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	558	False	Training	1
Q9SJ12	Arabidopsis thaliana	Viridiplantae	240	False	Training	1
O43502	Homo sapiens	Metazoa	376	False	Training	1
Q43715	Pisum sativum	Viridiplantae	809	True	Training	1
Q08492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False	Training	1
Q9H814	Homo sapiens	Metazoa	394	False	Training	1
P42695	Homo sapiens	Metazoa	1498	False	Training	1
P46970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1048	False	Training	1
Q86WB7	Homo sapiens	Metazoa	457	True	Training	1
P33759	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307	False	Training	1
Q96MT3	Homo sapiens	Metazoa	831	False	Training	1
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787	False	Training	1
O24164	Nicotiana tabacum	Viridiplantae	504	False	Training	1
Q9SZH4	Arabidopsis thaliana	Viridiplantae	495	False	Training	1
P20000	Bos taurus	Metazoa	520	False	Training	1
Q9QXM1	Mus musculus	Metazoa	983	False	Training	1
Q3TQ03	Mus musculus	Metazoa	375	False	Training	1
P46995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733	False	Training	1
Q7YQK4	Oryctolagus cuniculus	Metazoa	503	True	Training	1
O43482	Homo sapiens	Metazoa	229	False	Training	1
P29147	Rattus norvegicus	Metazoa	343	False	Training	1
Q54SM3	Dictyostelium discoideum	Amoebozoa	179	False	Training	1
Q9C6I6	Arabidopsis thaliana	Viridiplantae	363	False	Training	1
Q96330	Arabidopsis thaliana	Viridiplantae	336	False	Training	1
Q8N6L0	Homo sapiens	Metazoa	562	True	Training	1
Q9CQ29	Mus musculus	Metazoa	239	False	Training	1
P32524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280	False	Training	1
Q96JP5	Homo sapiens	Metazoa	570	False	Training	1
Q9JJN6	Mus musculus	Metazoa	81	False	Training	1
Q18593	Caenorhabditis elegans	Metazoa	329	True	Training	1
Q84JG2	Arabidopsis thaliana	Viridiplantae	469	False	Training	1
P33897	Homo sapiens	Metazoa	745	True	Training	1
Q6LA53	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	346	False	Training	1
Q1K6Q3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236	False	Training	1
O43008	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False	Training	1
Q8BP40	Mus musculus	Metazoa	418	False	Training	1
P54256	Rattus norvegicus	Metazoa	629	False	Training	1
Q04401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False	Training	1
Q9SLD2	Arabidopsis thaliana	Viridiplantae	520	True	Training	1
P22798	Spinacia oleracea	Viridiplantae	271	False	Training	1
Q96MH2	Homo sapiens	Metazoa	286	False	Training	1
A0A0U2X0E4	Mycosarcoma maydis	Fungi	443	False	Training	1
P33339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1025	False	Training	1
O43052	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1150	False	Training	1
P40342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False	Training	1
O23174	Arabidopsis thaliana	Viridiplantae	536	False	Training	1
C0HMD7	Homo sapiens	Metazoa	151	False	Training	1
Q9Y5Q9	Homo sapiens	Metazoa	886	False	Training	1
Q86WB0	Homo sapiens	Metazoa	502	False	Training	1
Q6ZWK4	Homo sapiens	Metazoa	172	True	Training	1
Q10173	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	441	False	Training	1
P01880	Homo sapiens	Metazoa	430	True	Training	1
A1Z830	Drosophila melanogaster	Metazoa	485	False	Training	1
Q8VYU8	Arabidopsis thaliana	Viridiplantae	396	False	Training	1
Q8IWV7	Homo sapiens	Metazoa	1749	False	Training	1
O43078	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	660	False	Training	1
P36151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352	False	Training	1
Q19541	Caenorhabditis elegans	Metazoa	169	False	Training	1
Q9SR62	Arabidopsis thaliana	Viridiplantae	309	False	Training	1
Q9USG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1188	True	Training	1
Q9YHY6	Xenopus laevis	Metazoa	1364	False	Training	1
Q9QZR8	Rattus norvegicus	Metazoa	2766	False	Training	1
O64973	Arabidopsis thaliana	Viridiplantae	889	False	Training	1
Q8MIR0	Sus scrofa	Metazoa	373	False	Training	1
P49919	Mus musculus	Metazoa	348	False	Training	1
Q8RXH2	Arabidopsis thaliana	Viridiplantae	716	False	Training	1
Q80WL1	Rattus norvegicus	Metazoa	549	True	Training	1
O81851	Arabidopsis thaliana	Viridiplantae	304	False	Training	1
Q9H5V7	Homo sapiens	Metazoa	419	False	Training	1
P48268	Chlamydomonas reinhardtii	Viridiplantae	82	True	Training	1
P24919	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	273	False	Training	1
Q5XF07	Arabidopsis thaliana	Viridiplantae	364	False	Training	1
Q09967	Caenorhabditis elegans	Metazoa	551	True	Training	1
Q5SFM8	Mus musculus	Metazoa	1060	False	Training	1
Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214	False	Training	1
Q8RXA7	Arabidopsis thaliana	Viridiplantae	1187	False	Training	1
Q9BX79	Homo sapiens	Metazoa	667	True	Training	1
P40692	Homo sapiens	Metazoa	756	False	Training	1
Q9HCJ1	Homo sapiens	Metazoa	492	True	Training	1
Q9STG9	Arabidopsis thaliana	Viridiplantae	561	False	Training	1
Q3LHL9	Drosophila melanogaster	Metazoa	1658	False	Training	1
E3Q1H1	Trypanosoma brucei brucei	Discoba	147	False	Training	1
A2YMU2	Oryza sativa subsp. indica	Viridiplantae	266	False	Training	1
Q02038	Sus scrofa	Metazoa	704	False	Training	1
Q60560	Mesocricetus auratus	Metazoa	989	False	Training	1
Q9FIG9	Arabidopsis thaliana	Viridiplantae	801	True	Training	1
Q9LF68	Arabidopsis thaliana	Viridiplantae	177	False	Training	1
P33307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960	False	Training	1
Q8N100	Homo sapiens	Metazoa	152	False	Training	1
Q9Y3Z3	Homo sapiens	Metazoa	626	False	Training	1
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636	False	Training	1
Q9V463	Drosophila melanogaster	Metazoa	1365	False	Training	1
Q9MBA2	Arabidopsis thaliana	Viridiplantae	326	False	Training	1
Q9SQR5	Arabidopsis thaliana	Viridiplantae	554	True	Training	1
O82804	Arabidopsis thaliana	Viridiplantae	695	False	Training	1
O14867	Homo sapiens	Metazoa	736	False	Training	1
Q2VWA4	Homo sapiens	Metazoa	1015	False	Training	1
Q04601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	652	False	Training	1
P47116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	818	False	Training	1
P07247	Drosophila melanogaster	Metazoa	502	False	Training	1
O02351	Antheraea polyphemus	Metazoa	525	True	Training	1
Q8K2T8	Mus musculus	Metazoa	535	False	Training	1
Q9W157	Drosophila melanogaster	Metazoa	971	False	Training	1
Q01664	Homo sapiens	Metazoa	338	False	Training	1
Q9WTJ4	Mus musculus	Metazoa	500	False	Training	1
P51795	Homo sapiens	Metazoa	816	True	Training	1
O55035	Rattus norvegicus	Metazoa	752	False	Training	1
Q5BVD1	Homo sapiens	Metazoa	217	True	Training	1
Q8CIV7	Mus musculus	Metazoa	274	False	Training	1
P36552	Mus musculus	Metazoa	443	False	Training	1
Q9CAQ2	Arabidopsis thaliana	Viridiplantae	114	False	Training	1
Q8VYD2	Arabidopsis thaliana	Viridiplantae	386	False	Training	1
Q9GZT6	Homo sapiens	Metazoa	254	True	Training	1
Q05812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	728	False	Training	1
P57742	Arabidopsis thaliana	Viridiplantae	151	False	Training	1
Q9FME2	Arabidopsis thaliana	Viridiplantae	460	False	Training	1
Q8W4E7	Arabidopsis thaliana	Viridiplantae	598	True	Training	1
A1L167	Homo sapiens	Metazoa	161	False	Training	1
H2KYU6	Caenorhabditis elegans	Metazoa	529	False	Training	1
Q12166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604	False	Training	1
Q07243	Mus musculus	Metazoa	675	False	Training	1
P25046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220	False	Training	1
Q6P2H3	Homo sapiens	Metazoa	762	False	Training	1
Q22037	Caenorhabditis elegans	Metazoa	346	False	Training	1
Q5FWH3	Mus musculus	Metazoa	603	False	Training	1
Q93YU8	Arabidopsis thaliana	Viridiplantae	796	False	Training	1
Q68G58	Mus musculus	Metazoa	516	False	Training	1
Q8TEA8	Homo sapiens	Metazoa	209	False	Training	1
A0A7P0TBJ1	Homo sapiens	Metazoa	273	False	Training	1
Q07555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291	False	Training	1
P25686	Homo sapiens	Metazoa	324	False	Training	1
Q91Z67	Mus musculus	Metazoa	1071	False	Training	1
P60002	Homo sapiens	Metazoa	83	False	Training	1
Q99PQ2	Mus musculus	Metazoa	467	False	Training	1
Q14209	Homo sapiens	Metazoa	437	False	Training	1
Q02793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397	False	Training	1
A8K830	Homo sapiens	Metazoa	251	False	Training	1
P20143	Hordeum vulgare	Viridiplantae	143	True	Training	1
P59178	Mus musculus	Metazoa	703	False	Training	1
Q9VLL3	Drosophila melanogaster	Metazoa	753	False	Training	1
Q9QX98	Mus musculus	Metazoa	324	False	Training	1
Q0VAA5	Homo sapiens	Metazoa	305	False	Training	1
Q99M04	Mus musculus	Metazoa	373	False	Training	1
Q8QFX1	Gallus gallus	Metazoa	1325	False	Training	1
Q1G3K8	Arabidopsis thaliana	Viridiplantae	216	False	Training	1
P21620	Leishmania donovani	Discoba	514	False	Training	1
Q6P1X5	Homo sapiens	Metazoa	1199	False	Training	1
P0DKJ7	Arabidopsis thaliana	Viridiplantae	813	False	Training	1
Q12359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275	True	Training	1
Q9H633	Homo sapiens	Metazoa	154	False	Training	1
O54957	Mus musculus	Metazoa	242	True	Training	1
O14980	Homo sapiens	Metazoa	1071	False	Training	1
F4INA9	Arabidopsis thaliana	Viridiplantae	973	False	Training	1
Q6IPU0	Homo sapiens	Metazoa	288	False	Training	1
Q9Y7Q7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	973	False	Training	1
O13826	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	254	False	Training	1
B5TYT3	Arabidopsis thaliana	Viridiplantae	771	True	Training	1
Q8WVC0	Homo sapiens	Metazoa	666	False	Training	1
Q39055	Arabidopsis thaliana	Viridiplantae	390	False	Training	1
Q9D4J1	Mus musculus	Metazoa	240	False	Training	1
Q24459	Drosophila melanogaster	Metazoa	1043	False	Training	1
Q5MIZ7	Homo sapiens	Metazoa	849	False	Training	1
Q6ZNL6	Homo sapiens	Metazoa	1462	False	Training	1
O95376	Homo sapiens	Metazoa	493	False	Training	1
P18263	Chlamydomonas reinhardtii	Viridiplantae	46	True	Training	1
Q9USU8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	551	False	Training	1
P53032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	299	False	Training	1
Q9DAT5	Mus musculus	Metazoa	417	False	Training	1
Q96T68	Homo sapiens	Metazoa	719	False	Training	1
P38927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245	False	Training	1
Q42342	Arabidopsis thaliana	Viridiplantae	134	True	Training	1
P80217	Homo sapiens	Metazoa	286	False	Training	1
P70279	Mus musculus	Metazoa	355	False	Training	1
Q9Y2G0	Homo sapiens	Metazoa	817	False	Training	1
A6NHQ2	Homo sapiens	Metazoa	334	False	Training	1
Q9LUJ5	Arabidopsis thaliana	Viridiplantae	293	False	Training	1
O13985	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	512	False	Training	1
Q9FNQ0	Arabidopsis thaliana	Viridiplantae	625	False	Training	1
P46673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	744	False	Training	1
Q6X632	Mus musculus	Metazoa	540	True	Training	1
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855	True	Training	1
P62847	Homo sapiens	Metazoa	133	False	Training	1
Q9FNE9	Arabidopsis thaliana	Viridiplantae	349	False	Training	1
Q925F4	Mus musculus	Metazoa	539	False	Training	1
Q86WR6	Homo sapiens	Metazoa	236	False	Training	1
Q63285	Rattus norvegicus	Metazoa	419	False	Training	1
Q86UK7	Homo sapiens	Metazoa	904	False	Training	1
Q01663	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	552	False	Training	1
Q96HI0	Homo sapiens	Metazoa	755	False	Training	1
Q03435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	False	Training	1
Q9UGI0	Homo sapiens	Metazoa	708	False	Training	1
Q9UH99	Homo sapiens	Metazoa	717	True	Training	1
Q9M0Z3	Arabidopsis thaliana	Viridiplantae	776	True	Training	1
Q9BZE9	Homo sapiens	Metazoa	553	False	Training	1
A2IDD5	Homo sapiens	Metazoa	438	False	Training	1
O60941	Homo sapiens	Metazoa	627	False	Training	1
Q9P7N4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	315	False	Training	1
Q02931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	896	False	Training	1
Q96P16	Homo sapiens	Metazoa	312	False	Training	1
Q9P7B7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295	False	Training	1
Q8R2Y0	Mus musculus	Metazoa	336	True	Training	1
O82289	Arabidopsis thaliana	Viridiplantae	568	False	Training	1
Q60838	Mus musculus	Metazoa	736	False	Training	1
Q9ER31	Rattus norvegicus	Metazoa	455	True	Training	1
Q8TCY9	Homo sapiens	Metazoa	931	False	Training	1
O70200	Mus musculus	Metazoa	147	False	Training	1
Q8R0N6	Mus musculus	Metazoa	465	False	Training	1
Q01613	Xenopus laevis	Metazoa	1420	False	Training	1
Q9P790	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	316	False	Training	1
Q550D5	Dictyostelium discoideum	Amoebozoa	872	False	Training	1
Q84VQ1	Arabidopsis thaliana	Viridiplantae	283	False	Training	1
Q9LRB7	Oryza sativa subsp. japonica	Viridiplantae	325	True	Training	1
Q68G30	Rattus norvegicus	Metazoa	505	False	Training	1
Q8W4D0	Arabidopsis thaliana	Viridiplantae	631	False	Training	1
Q7S1R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	267	False	Training	1
P38811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3744	False	Training	1
I3W9F6	Rhizophagus irregularis	Fungi	276	True	Training	1
