protein_id	organism_name	kingdom	protein_length	pos_cleavage_site	class	cv_subset
Q28862	Bos taurus	Metazoa	310	16	Training	1
P13806	Oryctolagus cuniculus	Metazoa	1106	26	Training	1
Q62867	Rattus norvegicus	Metazoa	317	24	Training	1
Q969J5	Homo sapiens	Metazoa	263	21	Training	1
Q7SZI7	Xenopus laevis	Metazoa	1219	22	Training	1
P80109	Bos taurus	Metazoa	839	23	Training	1
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18	Training	1
P0DL40	Vespa magnifica	Metazoa	67	21	Training	1
B2NHN2	Talaromyces funiculosus	Fungi	339	20	Training	1
P49259	Bos taurus	Metazoa	1463	20	Training	1
Q6X4U4	Homo sapiens	Metazoa	206	23	Training	1
P0DKU2	Pandinus imperator	Metazoa	145	15	Training	1
Q00193	Oryctolagus cuniculus	Metazoa	540	24	Training	1
G1CWH6	Clitoria ternatea	Viridiplantae	122	25	Training	1
P25116	Homo sapiens	Metazoa	425	21	Training	1
P98066	Homo sapiens	Metazoa	277	17	Training	1
Q8MI01	Bos taurus	Metazoa	330	23	Training	1
Q94733	Rhodnius prolixus	Metazoa	202	23	Training	1
Q9P0V8	Homo sapiens	Metazoa	285	22	Training	1
Q96DU3	Homo sapiens	Metazoa	332	21	Training	1
P81054	Grifola frondosa	Fungi	348	18	Training	1
Q8WPJ2	Mytilus edulis	Metazoa	367	17	Training	1
Q9R1T7	Rattus norvegicus	Metazoa	200	20	Training	1
Q9UIK5	Homo sapiens	Metazoa	374	40	Training	1
P18761	Mus musculus	Metazoa	317	17	Training	1
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28	Training	1
P0C1X6	Tityus discrepans	Metazoa	62	26	Training	1
P01500	Apis mellifera	Metazoa	46	27	Training	1
P80090	Lymnaea stagnalis	Metazoa	122	29	Training	1
Q5JNJ5	Oryza sativa subsp. japonica	Viridiplantae	237	28	Training	1
Q61508	Mus musculus	Metazoa	559	19	Training	1
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31	Training	1
Q62192	Mus musculus	Metazoa	661	20	Training	1
P0DQC1	Scolopendra dehaani	Metazoa	92	20	Training	1
P10675	Schistocerca americana	Metazoa	662	24	Training	1
P15247	Mus musculus	Metazoa	144	18	Training	1
P34998	Homo sapiens	Metazoa	415	23	Training	1
P81058	Penaeus vannamei	Metazoa	82	19	Training	1
O80323	Pyrus pyrifolia	Viridiplantae	222	22	Training	1
Q9UHF4	Homo sapiens	Metazoa	553	29	Training	1
I3LGZ3	Sus scrofa	Metazoa	81	24	Training	1
Q84V39	Olea europaea	Viridiplantae	123	21	Training	1
O35806	Rattus norvegicus	Metazoa	1764	35	Training	1
Q61400	Mus musculus	Metazoa	265	33	Training	1
Q924B5	Rattus norvegicus	Metazoa	250	25	Training	1
P01538	Viscum album	Viridiplantae	111	26	Training	1
Q9Y2I2	Homo sapiens	Metazoa	539	28	Training	1
P11150	Homo sapiens	Metazoa	499	22	Training	1
Q9Y251	Homo sapiens	Metazoa	543	35	Training	1
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18	Training	1
P55057	Oryctolagus cuniculus	Metazoa	124	27	Training	1
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23	Training	1
P25236	Rattus norvegicus	Metazoa	385	19	Training	1
P34115	Dictyostelium discoideum	Amoebozoa	730	20	Training	1
P36897	Homo sapiens	Metazoa	503	33	Training	1
P38574	Bos taurus	Metazoa	287	18	Training	1
P14217	Chlamydomonas reinhardtii	Viridiplantae	647	21	Training	1
U6BLZ9	Penicillium canescens	Fungi	463	26	Training	1
Q8N441	Homo sapiens	Metazoa	504	24	Training	1
P15226	Tityus serrulatus	Metazoa	84	20	Training	1
P26780	Sinapis alba	Viridiplantae	99	30	Training	1
P05160	Homo sapiens	Metazoa	661	20	Training	1
Q6GU94	Centruroides limpidus	Metazoa	56	24	Training	1
P20774	Homo sapiens	Metazoa	298	20	Training	1
Q9H1M4	Homo sapiens	Metazoa	99	20	Training	1
Q05091	Pyrus communis	Viridiplantae	330	24	Training	1
P26010	Homo sapiens	Metazoa	798	19	Training	1
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19	Training	1
P22362	Homo sapiens	Metazoa	96	23	Training	1
Q01638	Homo sapiens	Metazoa	556	18	Training	1
P02780	Rattus norvegicus	Metazoa	95	18	Training	1
Q7Z0T3	Aplysia californica	Metazoa	125	22	Training	1
P93484	Pisum sativum	Viridiplantae	623	22	Training	1
Q8N126	Homo sapiens	Metazoa	398	24	Training	1
P52823	Homo sapiens	Metazoa	247	17	Training	1
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25	Training	1
Q8WUJ3	Homo sapiens	Metazoa	1361	30	Training	1
P54660	Dictyostelium discoideum	Amoebozoa	143	22	Training	1
P14384	Homo sapiens	Metazoa	443	17	Training	1
Q4W1I9	Zinnia elegans	Viridiplantae	321	30	Training	1
P04844	Homo sapiens	Metazoa	631	22	Training	1
Q05895	Mus musculus	Metazoa	956	21	Training	1
P01297	Sus scrofa	Metazoa	121	24	Training	1
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24	Training	1
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18	Training	1
F1RRV3	Sus scrofa	Metazoa	2692	19	Training	1
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26	Training	1
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26	Training	1
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17	Training	1
Q3C258	Actinia equina	Metazoa	70	20	Training	1
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25	Training	1
P04937	Rattus norvegicus	Metazoa	2477	24	Training	1
P81623	Bos taurus	Metazoa	258	29	Training	1
P10562	Canavalia gladiata	Viridiplantae	445	26	Training	1
Q52085	Heterostelium pallidum	Amoebozoa	320	19	Training	1
O76537	Trichoplusia ni	Metazoa	182	16	Training	1
O95633	Homo sapiens	Metazoa	263	26	Training	1
P25404	Mirabilis jalapa	Viridiplantae	63	27	Training	1
Q64HC7	Armadillidium vulgare	Metazoa	73	19	Training	1
P20068	Rattus norvegicus	Metazoa	169	22	Training	1
P83313	Opistophthalmus carinatus	Metazoa	82	22	Training	1
Q6IUU3	Rattus norvegicus	Metazoa	750	32	Training	1
P07457	Zoarces americanus	Metazoa	87	22	Training	1
P01830	Rattus norvegicus	Metazoa	161	19	Training	1
P15289	Homo sapiens	Metazoa	507	18	Training	1
P58154	Lymnaea stagnalis	Metazoa	229	19	Training	1
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20	Training	1
Q61789	Mus musculus	Metazoa	3330	31	Training	1
P42705	Canis lupus familiaris	Metazoa	352	23	Training	1
A6XMY0	Hyas araneus	Metazoa	64	25	Training	1
O14786	Homo sapiens	Metazoa	923	21	Training	1
Q16568	Homo sapiens	Metazoa	116	27	Training	1
P80188	Homo sapiens	Metazoa	198	20	Training	1
Q76CE8	Typhula ishikariensis	Fungi	243	20	Training	1
P13725	Homo sapiens	Metazoa	252	25	Training	1
Q9BQ51	Homo sapiens	Metazoa	273	19	Training	1
Q09022	Xenopus laevis	Metazoa	84	18	Training	1
Q13145	Homo sapiens	Metazoa	260	20	Training	1
Q8MI35	Sus scrofa	Metazoa	152	32	Training	1
A6MEY4	Bungarus fasciatus	Metazoa	145	27	Training	1
P18181	Mus musculus	Metazoa	240	22	Training	1
B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21	Training	1
O94985	Homo sapiens	Metazoa	981	28	Training	1
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26	Training	1
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18	Training	1
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21	Training	1
Q17058	Apis mellifera	Metazoa	567	17	Training	1
Q8I817	Aplysia californica	Metazoa	88	19	Training	1
P16636	Rattus norvegicus	Metazoa	411	21	Training	1
P35495	Sus scrofa	Metazoa	133	24	Training	2
Q9UK23	Homo sapiens	Metazoa	515	25	Training	2
O14773	Homo sapiens	Metazoa	563	19	Training	2
O43278	Homo sapiens	Metazoa	529	35	Training	2
P23389	Bos taurus	Metazoa	646	20	Training	2
P07507	Bos taurus	Metazoa	103	19	Training	2
Q6UWN5	Homo sapiens	Metazoa	251	25	Training	2
Q9H9K5	Homo sapiens	Metazoa	563	26	Training	2
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24	Training	2
Q99372	Rattus norvegicus	Metazoa	870	27	Training	2
P80915	Macadamia integrifolia	Viridiplantae	102	26	Training	2
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21	Training	2
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19	Training	2
P15261	Mus musculus	Metazoa	477	25	Training	2
P11215	Homo sapiens	Metazoa	1152	16	Training	2
Q07092	Homo sapiens	Metazoa	1604	21	Training	2
Q9NPR2	Homo sapiens	Metazoa	837	43	Training	2
Q4V645	Drosophila melanogaster	Metazoa	108	29	Training	2
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23	Training	2
O60931	Homo sapiens	Metazoa	367	22	Training	2
Q96F46	Homo sapiens	Metazoa	866	32	Training	2
P01903	Homo sapiens	Metazoa	254	25	Training	2
P30440	Felis catus	Metazoa	109	17	Training	2
P06865	Homo sapiens	Metazoa	529	22	Training	2
P10257	Oncorhynchus keta	Metazoa	137	24	Training	2
P10764	Ovis aries	Metazoa	179	24	Training	2
A5HAK0	Danio rerio	Metazoa	149	22	Training	2
P30986	Eschscholzia californica	Viridiplantae	538	23	Training	2
P67861	Daboia russelii	Metazoa	144	24	Training	2
Q95NY5	Anopheles stephensi	Metazoa	315	18	Training	2
P02765	Homo sapiens	Metazoa	367	18	Training	2
Q61885	Mus musculus	Metazoa	246	28	Training	2
Q8VCS0	Mus musculus	Metazoa	530	22	Training	2
P81999	Canis lupus familiaris	Metazoa	358	22	Training	2
P20462	Notamacropus eugenii	Metazoa	176	18	Training	2
P30919	Rattus norvegicus	Metazoa	345	23	Training	2
B0JFB8	Antheraea mylitta	Metazoa	105	19	Training	2
Q969P0	Homo sapiens	Metazoa	613	27	Training	2
Q99013	Pseudopleuronectes americanus	Metazoa	82	23	Training	2
C4NZN9	Hyas araneus	Metazoa	131	16	Training	2
Q08481	Mus musculus	Metazoa	727	17	Training	2
P17697	Bos taurus	Metazoa	439	19	Training	2
P01221	Cyprinus carpio	Metazoa	118	23	Training	2
O75629	Homo sapiens	Metazoa	220	31	Training	2
P02743	Homo sapiens	Metazoa	223	19	Training	2
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18	Training	2
P05790	Bombyx mori	Metazoa	5263	21	Training	2
L8BRS3	Morus alba	Viridiplantae	209	18	Training	2
O70280	Rattus norvegicus	Metazoa	212	26	Training	2
Q28173	Bos taurus	Metazoa	416	22	Training	2
O18998	Oryctolagus cuniculus	Metazoa	281	21	Training	2
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20	Training	2
Q8NC67	Homo sapiens	Metazoa	525	22	Training	2
P0DPU3	Scolopendra dehaani	Metazoa	577	25	Training	2
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26	Training	2
P09586	Mus musculus	Metazoa	222	31	Training	2
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24	Training	2
P19324	Mus musculus	Metazoa	417	17	Training	2
P83472	Lumbricus terrestris	Metazoa	86	22	Training	2
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20	Training	2
P15570	Phytophthora cryptogea	Sar	118	20	Training	2
P28088	Bos taurus	Metazoa	441	26	Training	2
O62605	Galleria mellonella	Metazoa	218	16	Training	2
P07439	Megabalanus rosa	Metazoa	162	24	Training	2
P23438	Canis lupus familiaris	Metazoa	183	17	Training	2
Q6UWY5	Homo sapiens	Metazoa	402	28	Training	2
P86407	Mesobuthus eupeus	Metazoa	75	22	Training	2
P17813	Homo sapiens	Metazoa	658	25	Training	2
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	21	Training	2
P47710	Homo sapiens	Metazoa	185	15	Training	2
Q9BX59	Homo sapiens	Metazoa	468	18	Training	2
Q969H8	Homo sapiens	Metazoa	173	31	Training	2
P86009	Dromaius novaehollandiae	Metazoa	238	17	Training	2
P45478	Bos taurus	Metazoa	306	27	Training	2
Q8WWA0	Homo sapiens	Metazoa	313	18	Training	2
P17715	Octodon degus	Metazoa	109	24	Training	2
Q9GZX6	Homo sapiens	Metazoa	179	33	Training	2
Q53B52	Ophiophagus hannah	Metazoa	78	21	Training	2
Q5UCC4	Homo sapiens	Metazoa	262	25	Training	2
O95813	Homo sapiens	Metazoa	267	17	Training	2
Q60GF7	Rattus norvegicus	Metazoa	252	22	Training	2
P20013	Trametes versicolor	Fungi	372	26	Training	2
P08833	Homo sapiens	Metazoa	259	25	Training	2
O61668	Olivierus martensii	Metazoa	88	18	Training	2
P0DQE1	Scolopendra dehaani	Metazoa	109	23	Training	2
Q8TCT8	Homo sapiens	Metazoa	520	25	Training	2
D7UQ40	Alternaria solani	Fungi	515	25	Training	2
P29241	Aplysia californica	Metazoa	282	24	Training	2
P21570	Mus musculus	Metazoa	145	24	Training	2
Q99519	Homo sapiens	Metazoa	415	47	Training	2
Q8SXL2	Drosophila melanogaster	Metazoa	136	24	Training	2
Q41161	Robinia pseudoacacia	Viridiplantae	285	31	Training	2
P27613	Trichostrongylus colubriformis	Metazoa	173	15	Training	2
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29	Training	2
O08795	Mus musculus	Metazoa	521	14	Training	2
C7G3K3	Liocheles australasiae	Metazoa	80	21	Training	2
P04706	Zea mays	Viridiplantae	223	19	Training	2
Q9Y5Q6	Homo sapiens	Metazoa	135	22	Training	2
Q9QYH7	Rattus norvegicus	Metazoa	117	23	Training	2
P59665	Homo sapiens	Metazoa	94	19	Training	2
Q6XE38	Homo sapiens	Metazoa	83	21	Training	2
P55899	Homo sapiens	Metazoa	365	23	Training	2
A1BQQ5	Conus marmoreus	Metazoa	289	24	Training	2
Q50KB1	Emiliania huxleyi	Haptista	223	17	Training	2
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17	Training	2
P19069	Cavia porcellus	Metazoa	1742	19	Training	2
P02760	Homo sapiens	Metazoa	352	19	Training	2
O76818	Agrotis ipsilon	Metazoa	193	19	Training	2
Q9UKZ9	Homo sapiens	Metazoa	415	23	Training	2
Q99944	Homo sapiens	Metazoa	293	25	Training	2
Q05443	Bos taurus	Metazoa	342	18	Training	2
Q95P90	Olivierus martensii	Metazoa	94	22	Training	2
P0DUS5	Doratifera vulnerans	Metazoa	57	24	Training	2
Q8HYA9	Sus scrofa	Metazoa	185	20	Training	2
Q08738	Bombyx mori	Metazoa	239	16	Training	2
P14214	Tachypleus tridentatus	Metazoa	77	23	Training	2
P11717	Homo sapiens	Metazoa	2491	40	Training	2
Q7KRU8	Drosophila melanogaster	Metazoa	205	19	Training	2
P19034	Bos taurus	Metazoa	101	22	Training	2
P28770	Oncorhynchus mykiss	Metazoa	221	21	Training	2
P20656	Saponaria officinalis	Viridiplantae	299	24	Training	2
P13727	Homo sapiens	Metazoa	222	16	Training	2
Q8WP90	Solenopsis invicta	Metazoa	153	19	Training	2
P01027	Mus musculus	Metazoa	1663	24	Training	2
Q6UW10	Homo sapiens	Metazoa	78	19	Training	2
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29	Training	2
Q6UW32	Homo sapiens	Metazoa	110	24	Training	2
Q28989	Sus scrofa	Metazoa	421	26	Training	2
P55000	Homo sapiens	Metazoa	103	22	Training	2
Q8NI17	Homo sapiens	Metazoa	732	19	Training	2
O75462	Homo sapiens	Metazoa	422	37	Training	2
P01139	Mus musculus	Metazoa	241	18	Training	2
P16882	Mus musculus	Metazoa	650	24	Training	2
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22	Training	2
P01068	Ananas comosus	Viridiplantae	246	19	Training	2
P0DQB8	Scolopendra dehaani	Metazoa	73	20	Training	2
P24792	Cucurbita maxima	Viridiplantae	579	30	Training	2
G4ZHR2	Phytophthora sojae (strain P6497)	Sar	241	19	Training	2
Q3UN54	Mus musculus	Metazoa	99	21	Training	2
P49256	Canis lupus familiaris	Metazoa	356	44	Training	2
O60602	Homo sapiens	Metazoa	858	20	Training	2
Q7Z1K3	Anisakis simplex	Metazoa	194	23	Training	2
E0XKJ8	Tabanus yao	Metazoa	256	16	Training	2
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24	Training	2
P02810	Homo sapiens	Metazoa	166	16	Training	2
Q25055	Holotrichia diomphalia	Metazoa	104	20	Training	2
P01131	Bos taurus	Metazoa	845	21	Training	2
Q9ZT66	Zea mays	Viridiplantae	303	43	Training	2
Q969Z4	Homo sapiens	Metazoa	430	25	Training	2
Q9NSA1	Homo sapiens	Metazoa	209	28	Training	2
P08796	Dictyostelium discoideum	Amoebozoa	514	19	Training	2
C9K4X8	Patiria pectinifera	Metazoa	116	29	Training	2
Q9NQ34	Homo sapiens	Metazoa	198	33	Training	2
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17	Training	2
Q6UX52	Homo sapiens	Metazoa	265	20	Training	2
A7VN15	Protobothrops flavoviridis	Metazoa	79	19	Training	2
O95715	Homo sapiens	Metazoa	111	34	Training	2
P42660	Aedes aegypti	Metazoa	471	19	Training	2
Q63415	Rattus norvegicus	Metazoa	937	45	Training	2
P05164	Homo sapiens	Metazoa	745	48	Training	2
Q13007	Homo sapiens	Metazoa	206	51	Training	2
Q02083	Homo sapiens	Metazoa	359	28	Training	2
Q63191	Rattus norvegicus	Metazoa	1216	21	Training	2
P10124	Homo sapiens	Metazoa	158	27	Training	2
P51460	Homo sapiens	Metazoa	131	20	Training	2
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51	Training	2
Q86R84	Dermatophagoides farinae	Metazoa	462	25	Training	2
P14925	Rattus norvegicus	Metazoa	976	25	Training	2
P14770	Homo sapiens	Metazoa	177	16	Training	2
P26842	Homo sapiens	Metazoa	260	19	Training	2
P33577	Petromyzon marinus	Metazoa	119	19	Training	2
P20160	Homo sapiens	Metazoa	251	19	Training	2
Q8WML4	Bos taurus	Metazoa	580	22	Training	2
P0CS93	Gibberella zeae	Fungi	680	24	Training	2
O48818	Arabidopsis thaliana	Viridiplantae	257	20	Training	2
P24817	Momordica charantia	Viridiplantae	286	23	Training	3
P04639	Rattus norvegicus	Metazoa	259	18	Training	3
C0H9B6	Salmo salar	Metazoa	413	19	Training	3
O55038	Mus musculus	Metazoa	109	21	Training	3
P13204	Bos taurus	Metazoa	129	26	Training	3
P02649	Homo sapiens	Metazoa	317	18	Training	3
Q9Y279	Homo sapiens	Metazoa	399	19	Training	3
P30659	Lutzomyia longipalpis	Metazoa	86	23	Training	3
Q8NAC3	Homo sapiens	Metazoa	791	20	Training	3
Q15399	Homo sapiens	Metazoa	786	24	Training	3
Q9TRM8	Canis lupus familiaris	Metazoa	177	25	Training	3
P18417	Catharanthus roseus	Viridiplantae	352	31	Training	3
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25	Training	3
O97939	Sus scrofa	Metazoa	1142	38	Training	3
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15	Training	3
K9N4Q4	Phlebotomus papatasi	Metazoa	246	23	Training	3
Q13231	Homo sapiens	Metazoa	466	21	Training	3
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19	Training	3
P18428	Homo sapiens	Metazoa	481	25	Training	3
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23	Training	3
Q9P246	Homo sapiens	Metazoa	746	14	Training	3
Q3L1D1	Agaricus bisporus	Fungi	594	25	Training	3
P27797	Homo sapiens	Metazoa	417	17	Training	3
P31608	Sagittaria sagittifolia	Viridiplantae	181	24	Training	3
P33487	Arabidopsis thaliana	Viridiplantae	198	33	Training	3
E0XKJ9	Tabanus yao	Metazoa	349	25	Training	3
Q9Y4X3	Homo sapiens	Metazoa	112	24	Training	3
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20	Training	3
P02779	Oryctolagus cuniculus	Metazoa	91	21	Training	3
P00450	Homo sapiens	Metazoa	1065	19	Training	3
I1SB12	Microdochium nivale	Fungi	495	22	Training	3
Q15768	Homo sapiens	Metazoa	340	27	Training	3
P0C8G6	Pomacea canaliculata	Metazoa	565	26	Training	3
P04275	Homo sapiens	Metazoa	2813	22	Training	3
Q9V496	Drosophila melanogaster	Metazoa	3351	25	Training	3
P20062	Homo sapiens	Metazoa	427	18	Training	3
P84843	Hybomitra bimaculata	Metazoa	76	20	Training	3
Q28143	Bos taurus	Metazoa	456	35	Training	3
P19876	Homo sapiens	Metazoa	107	34	Training	3
Q8X150	Gaeumannomyces tritici	Fungi	618	16	Training	3
Q8T4J9	Manduca sexta	Metazoa	180	15	Training	3
P80686	Tenebrio molitor	Metazoa	211	16	Training	3
Q9P2K2	Homo sapiens	Metazoa	825	27	Training	3
P28825	Mus musculus	Metazoa	747	20	Training	3
Q07654	Homo sapiens	Metazoa	80	21	Training	3
A4LAR6	Grifola frondosa	Fungi	107	24	Training	3
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15	Training	3
O62644	Bos taurus	Metazoa	151	18	Training	3
Q9BWV1	Homo sapiens	Metazoa	1114	30	Training	3
Q43413	Capsicum annuum	Viridiplantae	75	27	Training	3
A9UGV6	Oryza sativa subsp. japonica	Viridiplantae	61	26	Training	3
P10762	Locusta migratoria	Metazoa	179	16	Training	3
Q25589	Faxonius limosus	Metazoa	135	26	Training	3
O76076	Homo sapiens	Metazoa	250	23	Training	3
Q06KA5	Phlebotomus duboscqi	Metazoa	142	20	Training	3
K9L4P7	Penicillium chrysogenum	Fungi	604	18	Training	3
P09479	Gallus gallus	Metazoa	456	20	Training	3
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24	Training	3
P35053	Rattus norvegicus	Metazoa	558	23	Training	3
P18684	Protophormia terraenovae	Metazoa	101	18	Training	3
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17	Training	3
P02774	Homo sapiens	Metazoa	474	16	Training	3
P09470	Mus musculus	Metazoa	1312	34	Training	3
Q6UXH1	Homo sapiens	Metazoa	353	24	Training	3
Q875I9	Aspergillus fumigatus	Fungi	238	17	Training	3
P12729	Dictyostelium discoideum	Amoebozoa	168	19	Training	3
Q805F3	Xenopus laevis	Metazoa	397	16	Training	3
Q96BF3	Homo sapiens	Metazoa	282	22	Training	3
Q00954	Rattus norvegicus	Metazoa	218	18	Training	3
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19	Training	3
O64392	Triticum aestivum	Viridiplantae	146	21	Training	3
P0DPU8	Scolopendra dehaani	Metazoa	105	24	Training	3
Q1XG90	Crassostrea virginica	Metazoa	135	18	Training	3
G3MYZ3	Bos taurus	Metazoa	604	21	Training	3
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18	Training	3
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18	Training	3
P42578	Lymnaea stagnalis	Metazoa	239	18	Training	3
P06911	Rattus norvegicus	Metazoa	188	19	Training	3
Q06K61	Phlebotomus duboscqi	Metazoa	516	20	Training	3
Q02862	Mus musculus	Metazoa	184	15	Training	3
Q6IWZ0	Aplysia californica	Metazoa	535	18	Training	3
P25291	Canis lupus familiaris	Metazoa	509	21	Training	3
O96059	Bombyx mori	Metazoa	66	24	Training	3
P91629	Drosophila miranda	Metazoa	126	16	Training	3
P25068	Bos taurus	Metazoa	64	26	Training	3
P19400	Ascaris suum	Metazoa	169	20	Training	3
Q8NBJ9	Homo sapiens	Metazoa	832	18	Training	3
Q9BX74	Homo sapiens	Metazoa	207	37	Training	3
P17690	Bos taurus	Metazoa	345	19	Training	3
P21828	Bombyx mori	Metazoa	262	16	Training	3
Q08334	Homo sapiens	Metazoa	325	19	Training	3
P15270	Dictyostelium discoideum	Amoebozoa	424	23	Training	3
P15309	Homo sapiens	Metazoa	386	32	Training	3
P80370	Homo sapiens	Metazoa	383	23	Training	3
Q9H6E4	Homo sapiens	Metazoa	229	22	Training	3
P61312	Rattus norvegicus	Metazoa	146	25	Training	3
Q9Z1K9	Rattus norvegicus	Metazoa	827	17	Training	3
P02701	Gallus gallus	Metazoa	152	24	Training	3
